总共运行步数: 1505 , 分数: -20.0 , 加权分数: -20.185000
总共运行步数: 1731 , 分数: -17.0 , 加权分数: -20.153150
总共运行步数: 1328 , 分数: -20.0 , 加权分数: -20.151619
总共运行步数: 1847 , 分数: -20.0 , 加权分数: -20.150102
总共运行步数: 1658 , 分数: -17.0 , 加权分数: -20.118601
总共运行步数: 1900 , 分数: -17.0 , 加权分数: -20.087415
总共运行步数: 1107 , 分数: -21.0 , 加权分数: -20.096541
总共运行步数: 1436 , 分数: -19.0 , 加权分数: -20.085576
总共运行步数: 1337 , 分数: -19.0 , 加权分数: -20.074720
总共运行步数: 1598 , 分数: -18.0 , 加权分数: -20.053973
总共运行步数: 1850 , 分数: -17.0 , 加权分数: -20.023433
总共运行步数: 1679 , 分数: -18.0 , 加权分数: -20.003199
总共运行步数: 1465 , 分数: -20.0 , 加权分数: -20.003167
总共运行步数: 1701 , 分数: -18.0 , 加权分数: -19.983135
总共运行步数: 1431 , 分数: -20.0 , 加权分数: -19.983304
总共运行步数: 1203 , 分数: -21.0 , 加权分数: -19.993471
总共运行步数: 1360 , 分数: -19.0 , 加权分数: -19.983536
总共运行步数: 1211 , 分数: -20.0 , 加权分数: -19.983701
总共运行步数: 1608 , 分数: -18.0 , 加权分数: -19.963864
总共运行步数: 1697 , 分数: -20.0 , 加权分数: -19.964225
总共运行步数: 1800 , 分数: -18.0 , 加权分数: -19.944583
总共运行步数: 1435 , 分数: -19.0 , 加权分数: -19.935137
总共运行步数: 1376 , 分数: -20.0 , 加权分数: -19.935785
总共运行步数: 1399 , 分数: -20.0 , 加权分数: -19.936428
总共运行步数: 1684 , 分数: -18.0 , 加权分数: -19.917063
总共运行步数: 1509 , 分数: -20.0 , 加权分数: -19.917893
总共运行步数: 1271 , 分数: -21.0 , 加权分数: -19.928714
总共运行步数: 1376 , 分数: -20.0 , 加权分数: -19.929427
总共运行步数: 1537 , 分数: -21.0 , 加权分数: -19.940132
总共运行步数: 1478 , 分数: -19.0 , 加权分数: -19.930731
总共运行步数: 1553 , 分数: -21.0 , 加权分数: -19.941424
总共运行步数: 1635 , 分数: -20.0 , 加权分数: -19.942009
总共运行步数: 1764 , 分数: -20.0 , 加权分数: -19.942589
总共运行步数: 1610 , 分数: -19.0 , 加权分数: -19.933163
总共运行步数: 1716 , 分数: -17.0 , 加权分数: -19.903832
总共运行步数: 1391 , 分数: -21.0 , 加权分数: -19.914794
总共运行步数: 1354 , 分数: -21.0 , 加权分数: -19.925646
总共运行步数: 1720 , 分数: -20.0 , 加权分数: -19.926389
总共运行步数: 1591 , 分数: -18.0 , 加权分数: -19.907125
总共运行步数: 1538 , 分数: -19.0 , 加权分数: -19.898054
总共运行步数: 1761 , 分数: -15.0 , 加权分数: -19.849073
总共运行步数: 1256 , 分数: -21.0 , 加权分数: -19.860583
总共运行步数: 1538 , 分数: -20.0 , 加权分数: -19.861977
总共运行步数: 1580 , 分数: -18.0 , 加权分数: -19.843357
总共运行步数: 1633 , 分数: -19.0 , 加权分数: -19.834924
总共运行步数: 1310 , 分数: -21.0 , 加权分数: -19.846574
总共运行步数: 1507 , 分数: -21.0 , 加权分数: -19.858109
总共运行步数: 1621 , 分数: -18.0 , 加权分数: -19.839527
总共运行步数: 1399 , 分数: -20.0 , 加权分数: -19.841132
总共运行步数: 1332 , 分数: -20.0 , 加权分数: -19.842721
总共运行步数: 1678 , 分数: -20.0 , 加权分数: -19.844294
总共运行步数: 1840 , 分数: -19.0 , 加权分数: -19.835851
总共运行步数: 1546 , 分数: -20.0 , 加权分数: -19.837492
总共运行步数: 1464 , 分数: -19.0 , 加权分数: -19.829117
总共运行步数: 1480 , 分数: -20.0 , 加权分数: -19.830826
总共运行步数: 1589 , 分数: -21.0 , 加权分数: -19.842518
总共运行步数: 1222 , 分数: -21.0 , 加权分数: -19.854093
总共运行步数: 1264 , 分数: -21.0 , 加权分数: -19.865552
总共运行步数: 1545 , 分数: -20.0 , 加权分数: -19.866896
总共运行步数: 1463 , 分数: -20.0 , 加权分数: -19.868227
总共运行步数: 1478 , 分数: -21.0 , 加权分数: -19.879545
总共运行步数: 1681 , 分数: -19.0 , 加权分数: -19.870749
总共运行步数: 1344 , 分数: -21.0 , 加权分数: -19.882042
总共运行步数: 1342 , 分数: -21.0 , 加权分数: -19.893222
总共运行步数: 1455 , 分数: -19.0 , 加权分数: -19.884289
总共运行步数: 1752 , 分数: -18.0 , 加权分数: -19.865446
总共运行步数: 1679 , 分数: -19.0 , 加权分数: -19.856792
总共运行步数: 1704 , 分数: -16.0 , 加权分数: -19.818224
总共运行步数: 1600 , 分数: -20.0 , 加权分数: -19.820042
总共运行步数: 1741 , 分数: -17.0 , 加权分数: -19.791841
总共运行步数: 2214 , 分数: -16.0 , 加权分数: -19.753923
总共运行步数: 1653 , 分数: -18.0 , 加权分数: -19.736384
总共运行步数: 1670 , 分数: -19.0 , 加权分数: -19.729020
总共运行步数: 1716 , 分数: -18.0 , 加权分数: -19.711730
总共运行步数: 1413 , 分数: -21.0 , 加权分数: -19.724612
总共运行步数: 1811 , 分数: -17.0 , 加权分数: -19.697366
总共运行步数: 1438 , 分数: -21.0 , 加权分数: -19.710393
总共运行步数: 1890 , 分数: -17.0 , 加权分数: -19.683289
总共运行步数: 1418 , 分数: -19.0 , 加权分数: -19.676456
总共运行步数: 1657 , 分数: -18.0 , 加权分数: -19.659691
总共运行步数: 1943 , 分数: -17.0 , 加权分数: -19.633094
总共运行步数: 1477 , 分数: -20.0 , 加权分数: -19.636763
总共运行步数: 1632 , 分数: -19.0 , 加权分数: -19.630396
总共运行步数: 1509 , 分数: -20.0 , 加权分数: -19.634092
总共运行步数: 1807 , 分数: -17.0 , 加权分数: -19.607751
总共运行步数: 1681 , 分数: -18.0 , 加权分数: -19.591673
总共运行步数: 2046 , 分数: -17.0 , 加权分数: -19.565757
总共运行步数: 1906 , 分数: -17.0 , 加权分数: -19.540099
总共运行步数: 1924 , 分数: -18.0 , 加权分数: -19.524698
总共运行步数: 1468 , 分数: -20.0 , 加权分数: -19.529451
总共运行步数: 1755 , 分数: -18.0 , 加权分数: -19.514156
总共运行步数: 2036 , 分数: -17.0 , 加权分数: -19.489015
总共运行步数: 1746 , 分数: -18.0 , 加权分数: -19.474125
总共运行步数: 1656 , 分数: -20.0 , 加权分数: -19.479383
总共运行步数: 1940 , 分数: -18.0 , 加权分数: -19.464590
总共运行步数: 2040 , 分数: -18.0 , 加权分数: -19.449944
总共运行步数: 1713 , 分数: -20.0 , 加权分数: -19.455444
总共运行步数: 1786 , 分数: -19.0 , 加权分数: -19.450890
总共运行步数: 1520 , 分数: -20.0 , 加权分数: -19.456381
总共运行步数: 1769 , 分数: -20.0 , 加权分数: -19.461817
总共运行步数: 2034 , 分数: -17.0 , 加权分数: -19.437199
总共运行步数: 1874 , 分数: -19.0 , 加权分数: -19.432827
总共运行步数: 1848 , 分数: -19.0 , 加权分数: -19.428499
总共运行步数: 1693 , 分数: -19.0 , 加权分数: -19.424214
总共运行步数: 1709 , 分数: -19.0 , 加权分数: -19.419972
总共运行步数: 2021 , 分数: -17.0 , 加权分数: -19.395772
总共运行步数: 1795 , 分数: -19.0 , 加权分数: -19.391814
总共运行步数: 1823 , 分数: -17.0 , 加权分数: -19.367896
总共运行步数: 1546 , 分数: -20.0 , 加权分数: -19.374217
总共运行步数: 1816 , 分数: -18.0 , 加权分数: -19.360475
总共运行步数: 1765 , 分数: -18.0 , 加权分数: -19.346870
总共运行步数: 1681 , 分数: -19.0 , 加权分数: -19.343401
总共运行步数: 1489 , 分数: -20.0 , 加权分数: -19.349967
总共运行步数: 1728 , 分数: -17.0 , 加权分数: -19.326468
总共运行步数: 1899 , 分数: -15.0 , 加权分数: -19.283203
总共运行步数: 1787 , 分数: -19.0 , 加权分数: -19.280371
总共运行步数: 1756 , 分数: -19.0 , 加权分数: -19.277567
总共运行步数: 1680 , 分数: -21.0 , 加权分数: -19.294792
总共运行步数: 2064 , 分数: -18.0 , 加权分数: -19.281844
总共运行步数: 1470 , 分数: -19.0 , 加权分数: -19.279025
总共运行步数: 1673 , 分数: -19.0 , 加权分数: -19.276235
总共运行步数: 1418 , 分数: -21.0 , 加权分数: -19.293473
总共运行步数: 1745 , 分数: -19.0 , 加权分数: -19.290538
总共运行步数: 1973 , 分数: -19.0 , 加权分数: -19.287632
总共运行步数: 1964 , 分数: -19.0 , 加权分数: -19.284756
总共运行步数: 1815 , 分数: -18.0 , 加权分数: -19.271909
总共运行步数: 1831 , 分数: -18.0 , 加权分数: -19.259189
总共运行步数: 1958 , 分数: -19.0 , 加权分数: -19.256598
总共运行步数: 1758 , 分数: -19.0 , 加权分数: -19.254032
总共运行步数: 2111 , 分数: -15.0 , 加权分数: -19.211491
总共运行步数: 2160 , 分数: -17.0 , 加权分数: -19.189376
总共运行步数: 1941 , 分数: -19.0 , 加权分数: -19.187483
总共运行步数: 1925 , 分数: -17.0 , 加权分数: -19.165608
总共运行步数: 1944 , 分数: -19.0 , 加权分数: -19.163952
总共运行步数: 1853 , 分数: -19.0 , 加权分数: -19.162312
总共运行步数: 1830 , 分数: -19.0 , 加权分数: -19.160689
总共运行步数: 1482 , 分数: -20.0 , 加权分数: -19.169082
总共运行步数: 1909 , 分数: -19.0 , 加权分数: -19.167391
总共运行步数: 2225 , 分数: -18.0 , 加权分数: -19.155717
总共运行步数: 1651 , 分数: -20.0 , 加权分数: -19.164160
总共运行步数: 2012 , 分数: -17.0 , 加权分数: -19.142519
总共运行步数: 1857 , 分数: -21.0 , 加权分数: -19.161093
总共运行步数: 2183 , 分数: -18.0 , 加权分数: -19.149482
总共运行步数: 1981 , 分数: -18.0 , 加权分数: -19.137988
总共运行步数: 1933 , 分数: -18.0 , 加权分数: -19.126608
总共运行步数: 1992 , 分数: -19.0 , 加权分数: -19.125342
总共运行步数: 2254 , 分数: -14.0 , 加权分数: -19.074088
总共运行步数: 2134 , 分数: -15.0 , 加权分数: -19.033347
总共运行步数: 1638 , 分数: -21.0 , 加权分数: -19.053014
总共运行步数: 1642 , 分数: -19.0 , 加权分数: -19.052484
总共运行步数: 1960 , 分数: -20.0 , 加权分数: -19.061959
总共运行步数: 2079 , 分数: -20.0 , 加权分数: -19.071339
总共运行步数: 2202 , 分数: -19.0 , 加权分数: -19.070626
总共运行步数: 2093 , 分数: -19.0 , 加权分数: -19.069920
总共运行步数: 2172 , 分数: -18.0 , 加权分数: -19.059220
总共运行步数: 1876 , 分数: -20.0 , 加权分数: -19.068628
总共运行步数: 1845 , 分数: -20.0 , 加权分数: -19.077942
总共运行步数: 1774 , 分数: -19.0 , 加权分数: -19.077163
总共运行步数: 1814 , 分数: -18.0 , 加权分数: -19.066391
总共运行步数: 2150 , 分数: -17.0 , 加权分数: -19.045727
总共运行步数: 1847 , 分数: -18.0 , 加权分数: -19.035270
总共运行步数: 2228 , 分数: -16.0 , 加权分数: -19.004917
总共运行步数: 1818 , 分数: -20.0 , 加权分数: -19.014868
总共运行步数: 2231 , 分数: -14.0 , 加权分数: -18.964719
总共运行步数: 2471 , 分数: -15.0 , 加权分数: -18.925072
总共运行步数: 2012 , 分数: -19.0 , 加权分数: -18.925821
总共运行步数: 1427 , 分数: -21.0 , 加权分数: -18.946563
总共运行步数: 1858 , 分数: -20.0 , 加权分数: -18.957097
总共运行步数: 2201 , 分数: -18.0 , 加权分数: -18.947526
总共运行步数: 2131 , 分数: -18.0 , 加权分数: -18.938051
总共运行步数: 2259 , 分数: -17.0 , 加权分数: -18.918671
总共运行步数: 2185 , 分数: -21.0 , 加权分数: -18.939484
总共运行步数: 2086 , 分数: -16.0 , 加权分数: -18.910089
总共运行步数: 2492 , 分数: -16.0 , 加权分数: -18.880988
总共运行步数: 1859 , 分数: -21.0 , 加权分数: -18.902178
总共运行步数: 2188 , 分数: -17.0 , 加权分数: -18.883156
总共运行步数: 2024 , 分数: -21.0 , 加权分数: -18.904325
总共运行步数: 1917 , 分数: -17.0 , 加权分数: -18.885282
总共运行步数: 2265 , 分数: -16.0 , 加权分数: -18.856429
总共运行步数: 1796 , 分数: -19.0 , 加权分数: -18.857865
总共运行步数: 1815 , 分数: -19.0 , 加权分数: -18.859286
总共运行步数: 2117 , 分数: -19.0 , 加权分数: -18.860693
总共运行步数: 2040 , 分数: -17.0 , 加权分数: -18.842086
总共运行步数: 2271 , 分数: -16.0 , 加权分数: -18.813665
总共运行步数: 1965 , 分数: -19.0 , 加权分数: -18.815529
总共运行步数: 2131 , 分数: -18.0 , 加权分数: -18.807373
总共运行步数: 2508 , 分数: -16.0 , 加权分数: -18.779300
总共运行步数: 2006 , 分数: -17.0 , 加权分数: -18.761507
总共运行步数: 1855 , 分数: -21.0 , 加权分数: -18.783891
总共运行步数: 2351 , 分数: -14.0 , 加权分数: -18.736053
总共运行步数: 1958 , 分数: -18.0 , 加权分数: -18.728692
总共运行步数: 2103 , 分数: -17.0 , 加权分数: -18.711405
总共运行步数: 2050 , 分数: -17.0 , 加权分数: -18.694291
总共运行步数: 1973 , 分数: -18.0 , 加权分数: -18.687348
总共运行步数: 2105 , 分数: -17.0 , 加权分数: -18.670475
总共运行步数: 2315 , 分数: -18.0 , 加权分数: -18.663770
总共运行步数: 1989 , 分数: -16.0 , 加权分数: -18.637132
总共运行步数: 2188 , 分数: -16.0 , 加权分数: -18.610761
总共运行步数: 1971 , 分数: -17.0 , 加权分数: -18.594653
总共运行步数: 2111 , 分数: -18.0 , 加权分数: -18.588707
总共运行步数: 2098 , 分数: -17.0 , 加权分数: -18.572820
总共运行步数: 2333 , 分数: -18.0 , 加权分数: -18.567091
总共运行步数: 1946 , 分数: -19.0 , 加权分数: -18.571421
总共运行步数: 2050 , 分数: -18.0 , 加权分数: -18.565706
总共运行步数: 1948 , 分数: -17.0 , 加权分数: -18.550049
总共运行步数: 2045 , 分数: -19.0 , 加权分数: -18.554549
总共运行步数: 1921 , 分数: -18.0 , 加权分数: -18.549003
总共运行步数: 1825 , 分数: -19.0 , 加权分数: -18.553513
总共运行步数: 2040 , 分数: -20.0 , 加权分数: -18.567978
总共运行步数: 2024 , 分数: -14.0 , 加权分数: -18.522298
总共运行步数: 1780 , 分数: -19.0 , 加权分数: -18.527075
总共运行步数: 1614 , 分数: -19.0 , 加权分数: -18.531805
总共运行步数: 1616 , 分数: -20.0 , 加权分数: -18.546486
总共运行步数: 1922 , 分数: -19.0 , 加权分数: -18.551022
总共运行步数: 2044 , 分数: -18.0 , 加权分数: -18.545511
总共运行步数: 2432 , 分数: -16.0 , 加权分数: -18.520056
总共运行步数: 1588 , 分数: -20.0 , 加权分数: -18.534856
总共运行步数: 2049 , 分数: -17.0 , 加权分数: -18.519507
总共运行步数: 2173 , 分数: -17.0 , 加权分数: -18.504312
总共运行步数: 2112 , 分数: -15.0 , 加权分数: -18.469269
总共运行步数: 2028 , 分数: -18.0 , 加权分数: -18.464576
总共运行步数: 2481 , 分数: -17.0 , 加权分数: -18.449930
总共运行步数: 1945 , 分数: -19.0 , 加权分数: -18.455431
总共运行步数: 1913 , 分数: -20.0 , 加权分数: -18.470877
总共运行步数: 2066 , 分数: -19.0 , 加权分数: -18.476168
总共运行步数: 2082 , 分数: -17.0 , 加权分数: -18.461406
总共运行步数: 2053 , 分数: -18.0 , 加权分数: -18.456792
总共运行步数: 2023 , 分数: -17.0 , 加权分数: -18.442224
总共运行步数: 1727 , 分数: -20.0 , 加权分数: -18.457802
总共运行步数: 2706 , 分数: -12.0 , 加权分数: -18.393224
总共运行步数: 2035 , 分数: -17.0 , 加权分数: -18.379292
总共运行步数: 2225 , 分数: -18.0 , 加权分数: -18.375499
总共运行步数: 2262 , 分数: -17.0 , 加权分数: -18.361744
总共运行步数: 2113 , 分数: -18.0 , 加权分数: -18.358127
总共运行步数: 2124 , 分数: -16.0 , 加权分数: -18.334545
总共运行步数: 2075 , 分数: -18.0 , 加权分数: -18.331200
总共运行步数: 2198 , 分数: -20.0 , 加权分数: -18.347888
总共运行步数: 1720 , 分数: -20.0 , 加权分数: -18.364409
总共运行步数: 1877 , 分数: -19.0 , 加权分数: -18.370765
总共运行步数: 1803 , 分数: -17.0 , 加权分数: -18.357057
总共运行步数: 2424 , 分数: -18.0 , 加权分数: -18.353487
总共运行步数: 2102 , 分数: -17.0 , 加权分数: -18.339952
总共运行步数: 2085 , 分数: -16.0 , 加权分数: -18.316552
总共运行步数: 1846 , 分数: -17.0 , 加权分数: -18.303387
总共运行步数: 2187 , 分数: -17.0 , 加权分数: -18.290353
总共运行步数: 2515 , 分数: -15.0 , 加权分数: -18.257449
总共运行步数: 2299 , 分数: -15.0 , 加权分数: -18.224875
总共运行步数: 2216 , 分数: -17.0 , 加权分数: -18.212626
总共运行步数: 2262 , 分数: -20.0 , 加权分数: -18.230500
总共运行步数: 1992 , 分数: -18.0 , 加权分数: -18.228195
总共运行步数: 1829 , 分数: -19.0 , 加权分数: -18.235913
总共运行步数: 2272 , 分数: -16.0 , 加权分数: -18.213554
总共运行步数: 2135 , 分数: -17.0 , 加权分数: -18.201418
总共运行步数: 2461 , 分数: -18.0 , 加权分数: -18.199404
总共运行步数: 2768 , 分数: -14.0 , 加权分数: -18.157410
总共运行步数: 2070 , 分数: -16.0 , 加权分数: -18.135836
总共运行步数: 2027 , 分数: -15.0 , 加权分数: -18.104477
总共运行步数: 2174 , 分数: -16.0 , 加权分数: -18.083433
总共运行步数: 2198 , 分数: -15.0 , 加权分数: -18.052598
总共运行步数: 2265 , 分数: -15.0 , 加权分数: -18.022072
总共运行步数: 2309 , 分数: -17.0 , 加权分数: -18.011852
总共运行步数: 2025 , 分数: -19.0 , 加权分数: -18.021733
总共运行步数: 2639 , 分数: -10.0 , 加权分数: -17.941516
总共运行步数: 2304 , 分数: -20.0 , 加权分数: -17.962101
总共运行步数: 2165 , 分数: -17.0 , 加权分数: -17.952480
总共运行步数: 2565 , 分数: -15.0 , 加权分数: -17.922955
